【土城】PENTAX ME、ME SUPER 手動單眼,2500,ptt,PENTAXCAT,2017-07-18 17:15:23,http://www.ptt.cc/bbs/photo-buy/M.1500369325.A.2BB.html
LPL 放大機Timer 腳踏開關,500,ptt,arvinya,2017-07-18 20:27:34,http://www.ptt.cc/bbs/photo-buy/M.1500380856.A.16C.html
售 Contax T2,15000,ptt,cwilliams,2017-07-18 22:56:45,http://www.ptt.cc/bbs/photo-buy/M.1500389807.A.EA9.html
CanonA1+50mm F1.8,3800,ptt,iwtbapdf,2017-07-18 22:57:23,http://www.ptt.cc/bbs/photo-buy/M.1500389845.A.A72.html
Leica Minilux 40mm定焦版,12000,ptt,cwilliams,2017-07-18 23:01:09,http://www.ptt.cc/bbs/photo-buy/M.1500390072.A.456.html
Contax T3 鈦黑,28000,ptt,cwilliams,2017-07-19 21:20:13,http://www.ptt.cc/bbs/photo-buy/M.1500470416.A.217.html
Minolta x570+135 f2.8,1800,ptt,DER1212,2017-07-20 09:01:07,http://www.ptt.cc/bbs/photo-buy/M.1500512469.A.55D.html
一些美能達器材,4800,ptt,F22220i,2017-07-20 10:30:29,http://www.ptt.cc/bbs/photo-buy/M.1500517832.A.B5E.html
Sidande LED5009 攝影燈 補光燈,500,ptt,narcissusim,2017-07-20 17:11:21,http://www.ptt.cc/bbs/photo-buy/M.1500541884.A.578.html
NIkon 55mm/f2.8 Micro Ais,3500,ptt,steven4032,2017-07-21 17:23:38,http://www.ptt.cc/bbs/photo-buy/M.1500629021.A.1B0.html
